
127,83,160;127,83,160;117,96,246;123,45,146;120,7,5;127,83,160;117,96,246;123,45,146;120,7,5;127,83,160;117,96,246;120,7,5;120,7,5;127,83,160;127,83,160;127,83,160;
45,70,4;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;41,160,245;255,255,255;38,121,104;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;48,108,145;
45,70,4;45,70,4;41,160,245;48,108,145;38,121,104;41,160,245;41,160,245;41,160,245;38,121,104;38,121,104;41,160,245;48,108,145;38,121,104;255,255,255;48,108,145;48,108,145;
45,70,4;45,70,4;41,160,245;48,108,145;38,121,104;41,160,245;41,160,245;41,160,245;38,121,104;38,121,104;41,160,245;48,108,145;38,121,104;45,70,4;48,108,145;48,108,145;
255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;
119,39,38;255,255,255;255,255,255;255,255,255;255,255,255;116,128,24;255,255,255;113,90,138;109,52,124;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;
119,39,38;119,39,38;255,255,255;119,39,38;119,39,38;116,128,24;113,90,138;113,90,138;109,52,124;116,128,24;255,255,255;109,52,124;109,52,124;255,255,255;255,255,255;255,255,255;
119,39,38;119,39,38;119,39,38;119,39,38;119,39,38;116,128,24;113,90,138;113,90,138;109,52,124;116,128,24;113,90,138;109,52,124;109,52,124;116,128,24;255,255,255;119,39,38;
119,39,38;119,39,38;119,39,38;119,39,38;119,39,38;116,128,24;113,90,138;113,90,138;109,52,124;116,128,24;113,90,138;109,52,124;109,52,124;116,128,24;113,90,138;119,39,38;
119,39,38;116,128,24;116,128,24;119,39,38;119,39,38;116,128,24;116,128,24;109,52,124;119,39,38;116,128,24;113,90,138;109,52,124;119,39,38;119,39,38;116,128,24;116,128,24;
